,has_handle,counts,counts_tobit,fem_dum,dem_dum,rep_dum,state_num,sentiment_total,party,womens_issues,education,health_care,SquireXfemale,ideology_total,BlackorLatino_legislator,years_since_elected
5132,0,NA,0,0,0,1,41,NA,R,NA,NA,NA,0,NA,0,NA
5133,0,NA,0,0,1,0,5,NA,D,NA,NA,NA,0,NA,0,NA
5134,1,98,98,0,0,1,7,0.775510192,R,0.030612245,0.030612245,0,0,0.040816329,0,NA
5135,1,3182,3182,0,0,1,14,0.390006274,R,0.029541168,0.017598994,0.011942174,0,0.190131992,0,NA
5136,0,NA,0,0,0,1,45,NA,R,NA,NA,NA,0,NA,0,NA
5137,1,99,99,0,0,1,47,0.535353541,R,0.01010101,0.01010101,0,0,0.24242425,0,NA
5138,1,1,1,0,0,1,35,1,R,0,0,0,0,1,NA,NA
5139,0,NA,0,0,0,1,9,NA,R,NA,NA,NA,0,NA,0,NA
5140,1,44,44,0,0,1,24,0.659090936,R,0.045454547,0.045454547,0,0,0.295454532,0,3
5141,0,NA,0,0,0,1,24,NA,R,NA,NA,NA,0,NA,0,7
5142,1,191,191,0,1,0,26,0.125654429,D,0.047120422,0.010471204,0.036649216,0,0,0,NA
5143,1,42,42,0,0,1,28,0.5,R,0.023809524,0.023809524,0,0,0.119047619,0,4
5144,1,152,152,0,0,1,10,0.730263174,R,0.013157895,0.006578947,0.006578947,0,0.223684222,0,NA
5145,1,1201,1201,0,0,1,5,0.49125728,R,0.02914238,0.016652789,0.012489592,0,0.044129886,1,NA
5146,1,188,188,0,0,1,22,0.56382978,R,0.037234042,0.015957447,0.021276595,0,0.132978737,0,NA
5147,0,NA,0,0,0,1,10,NA,R,NA,NA,NA,0,NA,0,NA
5148,1,1897,1897,0,1,0,25,0.519240916,D,0.041117553,0.028993146,0.012124407,0,0.101739593,0,7
5149,0,NA,0,0,0,1,12,NA,R,NA,NA,NA,0,NA,0,NA
5150,1,245,245,0,0,1,36,0.697959185,R,0.102040812,0.048979592,0.053061225,0,0.089795925,NA,NA
5151,1,3168,3168,0,0,1,35,-0.059659094,R,0.080492422,0.029987374,0.05050505,0,0.235164151,NA,NA
5152,1,1091,1091,0,0,1,41,0.566452801,R,0.045829516,0.013748854,0.032080662,0,0.194317147,0,NA
5153,0,NA,0,0,0,1,7,NA,R,NA,NA,NA,0,NA,NA,NA
5154,0,NA,0,0,0,1,16,NA,R,NA,NA,NA,0,NA,0,NA
5155,0,NA,0,0,0,1,39,NA,R,NA,NA,NA,0,NA,0,NA
5156,0,NA,0,0,0,1,36,NA,R,NA,NA,NA,0,NA,NA,NA
5157,0,NA,0,0,0,1,36,NA,R,NA,NA,NA,0,NA,NA,NA
5158,0,NA,0,0,0,1,15,NA,R,NA,NA,NA,0,NA,NA,NA
5159,1,666,666,0,1,0,16,0,D,0.033033036,0.024024025,0.009009009,0,0.132132128,0,NA
5160,0,NA,0,0,1,0,29,NA,D,NA,NA,NA,0,NA,NA,NA
5161,1,48,48,0,0,1,10,0.645833313,R,0.0625,0.041666668,0.020833334,0,0.166666672,0,NA
5162,0,NA,0,0,0,1,48,NA,R,NA,NA,NA,0,NA,0,NA
5163,0,NA,0,0,0,1,25,NA,R,NA,NA,NA,0,NA,0,27
5164,0,NA,0,0,0,1,46,NA,R,NA,NA,NA,0,NA,NA,NA
5165,0,NA,0,0,0,1,26,NA,R,NA,NA,NA,0,NA,0,NA
5166,0,NA,0,0,0,1,21,NA,R,NA,NA,NA,0,NA,NA,NA
5167,1,109,109,0,1,0,26,-0.275229365,D,0.082568802,0.009174312,0.073394492,0,-0.119266048,0,NA
5168,0,NA,0,0,1,0,31,NA,D,NA,NA,NA,0,NA,1,NA
5169,1,349,349,0,1,0,41,0.409742117,D,0.028653294,0.020057306,0.008595988,0,0.123209178,1,NA
5170,1,167,167,0,1,0,24,0.425149679,D,0.047904193,0.029940119,0.017964073,0,0.155688614,NA,3
5171,0,NA,0,0,0,1,10,NA,R,NA,NA,NA,0,NA,0,NA
5172,1,536,536,0,0,1,22,0.74253732,R,0.044776119,0.029850746,0.014925373,0,0.180970147,0,NA
5173,0,NA,0,0,0,1,35,NA,R,NA,NA,NA,0,NA,NA,NA
5174,1,2327,2327,0,0,1,38,0.522131503,R,0.01203266,0.00816502,0.003867641,0,0.31714654,NA,NA
5175,1,NA,0,0,0,1,38,NA,R,NA,NA,NA,0,NA,NA,NA
5176,1,112,112,0,1,0,44,0.678571403,D,0.017857144,0.017857144,0,0,0.107142858,0,5
5177,0,NA,0,1,0,1,39,NA,R,NA,NA,NA,0.103,NA,0,NA
5178,1,354,354,1,1,0,41,0.562146902,D,0.104519777,0.01977401,0.084745765,0.233999997,0.031073451,1,NA
5179,0,NA,0,1,1,0,7,NA,D,NA,NA,NA,0.26699999,NA,NA,NA
5180,1,2061,2061,0,0,1,23,0.309558451,R,0.047064535,0.014556041,0.032508492,0,0.224648237,0,NA
5181,1,19,19,0,0,1,18,0.578947365,R,0.105263159,0.052631579,0.052631579,0,0.157894731,0,4
5182,1,589,589,0,0,1,15,0.750424445,R,0.067911714,0.057724956,0.010186757,0,0.125636667,NA,NA
5183,0,NA,0,0,0,1,23,NA,R,NA,NA,NA,0,NA,0,NA
5184,1,3219,3219,0,0,1,41,0.56570363,R,0.014290152,0.011804909,0.002485244,0,0.16495806,0,NA
5185,1,225,225,0,1,0,6,0.608888865,D,0.044444446,0.017777778,0.026666667,0,0.111111112,NA,NA
5186,1,2024,2024,0,0,1,23,0.289525658,R,0.022727273,0.015316205,0.007411067,0,0.113142289,0,NA
5187,1,141,141,0,1,0,20,0.496453881,D,0.007092198,0,0.007092198,0,0.014184399,1,NA
5188,0,NA,0,0,0,1,47,NA,R,NA,NA,NA,0,NA,NA,NA
5189,1,629,629,0,0,1,14,0.67567569,R,0.027027028,0.023847377,0.00317965,0,0.114467397,NA,NA
5190,1,NA,0,0,0,1,20,NA,R,NA,NA,NA,0,NA,0,NA
5191,1,3207,3207,0,1,0,4,0.45930773,D,0.087932646,0.064234488,0.02369816,0,0.03523542,NA,3
5192,1,474,474,0,0,1,43,0.630801678,R,0.037974682,0.018987341,0.018987341,0,0.139240503,0,9
5193,0,NA,0,0,0,1,20,NA,R,NA,NA,NA,0,NA,NA,NA
5194,1,359,359,0,0,1,47,-0.119777173,R,0.022284122,0.011142061,0.011142061,0,0.047353759,0,NA
5195,0,NA,0,0,0,1,29,NA,R,NA,NA,NA,0,NA,NA,NA
5196,1,122,122,0,0,1,4,0.72131145,R,0.049180325,0.032786883,0.016393442,0,0.303278685,0,5
5197,1,295,295,0,1,0,5,0.674576283,D,0.145762712,0.094915256,0.050847456,0,-0.064406782,0,NA
5198,0,NA,0,0,0,1,41,NA,R,NA,NA,NA,0,NA,0,NA
5199,0,NA,0,1,0,1,16,NA,R,NA,NA,NA,0.180999994,NA,NA,NA
5200,0,NA,0,0,1,0,25,NA,D,NA,NA,NA,0,NA,NA,1
5201,1,1020,1020,1,1,0,9,0.66568625,D,0.043137256,0.030392157,0.012745098,0.245000005,0.129411772,1,NA
5202,0,NA,0,0,1,0,28,NA,D,NA,NA,NA,0,NA,0,16
5203,1,3,3,0,0,1,29,0.333333343,R,0,0,0,0,0.333333343,NA,NA
5204,0,NA,0,0,1,0,41,NA,D,NA,NA,NA,0,NA,NA,NA
5205,1,1873,1873,1,1,0,6,0.720234931,D,0.06406834,0.023491725,0.040576614,0.268000007,0.201281354,0,NA
5206,1,3201,3201,1,1,0,24,0.247735068,D,0.053108402,0.013745705,0.039362699,0.243000001,0.055920035,0,8
5207,1,970,970,0,0,1,5,0.339175224,R,0.021649484,0.013402062,0.008247423,0,0.185567021,0,NA
5208,1,480,480,0,1,0,29,-0.24999997,D,0.029166669,0.0125,0.016666668,0,0.181249991,0,NA
5209,1,1685,1685,0,0,1,41,0.667062342,R,0.025519289,0.015430267,0.010089021,0,0.19109793,0,NA
5210,0,NA,0,0,0,1,35,NA,R,NA,NA,NA,0,NA,0,NA
5211,1,3209,3209,0,0,1,24,0.486132801,R,0.04269243,0.03396697,0.00872546,0,0.169211596,0,5
5212,1,2763,2763,0,0,1,4,-0.099891424,R,0.024249006,0.005428882,0.018820124,0,0.397032231,0,3
5213,1,6,6,0,0,1,46,0.666666687,R,0,0,0,0,0.666666687,0,NA
5214,0,NA,0,0,0,1,46,NA,R,NA,NA,NA,0,NA,NA,NA
5215,1,NA,0,1,1,0,33,NA,D,NA,NA,NA,0.430000007,NA,NA,NA
5216,1,437,437,0,0,1,41,0.631578922,R,0.048054919,0.032036614,0.016018307,0,0.155606419,0,NA
5217,1,30,30,0,0,1,20,0.866666675,R,0,0,0,0,0.366666675,0,NA
5218,1,22,22,0,0,1,3,0.818181813,R,0,0,0,0,0.318181813,NA,NA
5219,1,511,511,0,0,1,16,0.250489235,R,0.029354207,0.01369863,0.015655577,0,0.307240695,0,NA
5220,0,NA,0,0,1,0,44,NA,D,NA,NA,NA,0,NA,0,3
5221,1,2357,2357,0,0,1,10,0.42087397,R,0.019516334,0.005515486,0.014000849,0,0.273228705,0,NA
5222,0,NA,0,0,0,1,10,NA,R,NA,NA,NA,0,NA,0,NA
5223,1,559,559,1,1,0,19,0.474060804,D,0.046511628,0.030411448,0.016100179,0.430999994,0.012522355,0,NA
5224,1,40,40,0,1,0,44,0.550000012,D,0,0,0,0,0.275000006,1,7
5225,1,1456,1456,0,0,1,22,0.643543959,R,0.006181319,0.004120879,0.00206044,0,0.123626381,0,NA
5226,0,NA,0,0,0,1,16,NA,R,NA,NA,NA,0,NA,NA,NA
5227,0,NA,0,0,0,1,29,NA,R,NA,NA,NA,0,NA,0,NA
5228,1,343,343,0,0,1,9,0.664723039,R,0.055393584,0.026239067,0.029154519,0,0.183673471,NA,NA
5229,0,NA,0,0,1,0,11,NA,D,NA,NA,NA,0,NA,NA,NA
5230,1,1555,1555,0,0,1,46,0.482315123,R,0.02250804,0.005787781,0.016720258,0,0.279099703,0,NA
5231,1,761,761,0,0,1,48,0.433639944,R,0.022339027,0.011826544,0.010512483,0,0.164257556,NA,NA
5232,1,123,123,0,0,1,46,0.479674816,R,0.032520324,0.016260162,0.016260162,0,0.10569106,0,NA
